Occupation title (click on the occupation title to view its profile),Annual mean wage
Dancers,
Choreographers,"49,630"
"Musicians, Singers, and Related Workers",
Music Directors and Composers,"65,080"
Musicians and Singers,
"Miscellaneous Entertainers and Performers, Sports and Related Workers",
"Disc Jockeys, Except Radio",
"Entertainers and Performers, Sports and Related Workers, All Other",
Media and Communication Workers,"71,760"
Broadcast Announcers and Radio Disc Jockeys,"56,110"
"News Analysts, Reporters, and Journalists","63,230"
Public Relations Specialists,"73,250"
Writers and Editors,"78,950"
Editors,"76,400"
Technical Writers,"81,470"
Writers and Authors,"81,120"
Miscellaneous Media and Communication Workers,"59,650"
Interpreters and Translators,"58,400"
Court Reporters and Simultaneous Captioners,"65,240"
"Media and Communication Workers, All Other","59,400"
Media and Communication Equipment Workers,"58,970"
"Broadcast, Sound, and Lighting Technicians","55,750"
Audio and Video Technicians,"55,310"
Broadcast Technicians,"51,280"
Sound Engineering Technicians,"67,360"
Lighting Technicians,"58,020"
Photographers,"48,210"
"Television, Video, and Film Camera Operators and Editors","70,020"
"Camera Operators, Television, Video, and Film","61,740"
Film and Video Editors,"76,000"
"Media and Communication Equipment Workers, All Other","69,290"
Healthcare Practitioners and Technical Occupations,"91,100"
Healthcare Diagnosing or Treating Practitioners,"112,160"
Chiropractors,"81,240"
Dentists,"177,770"
"Dentists, General","167,160"
Oral and Maxillofacial Surgeons,"311,460"
Orthodontists,"267,280"
Prosthodontists,"143,730"
"Dentists, All Other Specialists","179,400"
Dietitians and Nutritionists,"65,620"
Optometrists,"125,440"
Pharmacists,"125,690"
Physician Assistants,"119,460"
Podiatrists,"158,380"
Therapists,"84,080"
Occupational Therapists,"89,470"
Physical Therapists,"92,920"
Radiation Therapists,"94,000"
Recreational Therapists,"53,900"
Respiratory Therapists,"68,190"
Speech-Language Pathologists,"85,820"
Exercise Physiologists,"54,030"
"Therapists, All Other","65,030"
Veterinarians,"109,920"
Registered Nurses,"82,750"
Nurse Anesthetists,"202,470"
Nurse Midwives,"114,210"
Nurse Practitioners,"118,040"
Audiologists,"86,050"
Physicians,"252,480"
Anesthesiologists,"331,190"
Cardiologists,"353,970"
Dermatologists,"302,740"
Emergency Medicine Physicians,"310,640"
Family Medicine Physicians,"235,930"
General Internal Medicine Physicians,"242,190"
Neurologists,"267,660"
Obstetricians and Gynecologists,"296,210"
"Pediatricians, General","198,420"
"Physicians, Pathologists","267,180"
Psychiatrists,"249,760"
Radiologists,"301,720"
"Physicians, All Other","231,500"
Surgeons,"294,520"
"Ophthalmologists, Except Pediatric","270,090"
"Orthopedic Surgeons, Except Pediatric","306,220"
Pediatric Surgeons,"290,310"
"Surgeons, All Other","297,800"
Miscellaneous Healthcare Diagnosing or Treating Practitioners,"84,550"
Acupuncturists,"71,770"
Dental Hygienists,"81,360"
"Healthcare Diagnosing or Treating Practitioners, All Other","113,230"
Health Technologists and Technicians,"50,300"
Clinical Laboratory Technologists and Technicians,"56,910"
Diagnostic Related Technologists and Technicians,"70,780"
Cardiovascular Technologists and Technicians,"62,020"
Diagnostic Medical Sonographers,"80,680"
Nuclear Medicine Technologists,"84,850"
Radiologic Technologists and Technicians,"66,490"
Magnetic Resonance Imaging Technologists,"77,820"
Medical Dosimetrists,"124,750"
Emergency Medical Technicians and Paramedics,"41,480"
Emergency Medical Technicians,"36,690"
Paramedics,"49,500"
Health Practitioner Support Technologists and Technicians,"40,170"
Dietetic Technicians,"34,160"
Pharmacy Technicians,"37,970"
Psychiatric Technicians,"38,000"
Surgical Technologists,"53,590"
